id,year,dsb
dsb_fineweb_mono_2026,2026,"Wikipedija jo za wše wužytny projekt, kótaryž eksistěrujo z jadneje pśicyny: liche a powšykne źělenje wědy."
dsb_fineweb_mono_2026,2026,Waše dary zawěsćuju źěło za Wikipediju.
dsb_fineweb_mono_2026,2026,Pšosym pósććo źinsa.
dsb_fineweb_mono_2026,2026,Komentary pósćiwarjow
dsb_fineweb_mono_2026,2026,""""" Źěłam w pówołanju z wědu a som cesto pód śišćom casa – ja som pśišeł, aby ja se spušćił na Wikipediju nastupajucy inteligentne a detailěrowane pśeglědy wó temach, w kótarychž se njewuznawam."
dsb_fineweb_mono_2026,2026,Dalšne informacije.
dsb_fineweb_mono_2026,2026,Ceste pšašanja
dsb_fineweb_mono_2026,2026,Za co budu se móje pjenjeze wužywaś?
dsb_fineweb_mono_2026,2026,Za luźi a techniku.
dsb_fineweb_mono_2026,2026,Witamy Was wutšobnje!
dsb_fineweb_mono_2026,2026,"W 15 wustajeńskich jśpach znanje eksponaty wó kulturnem bogatstwje małego serbskego luda, kótaryž jo tysac lět žywy pód nimskimi wušnosćami a jo sebje weto swóju etnisku identitu zachował."
dsb_fineweb_mono_2026,2026,Mimo stawneje wustajeńce prezentěrujomy kužde lěto wěcej razow teke nowe wósebne wustajeńce.
dsb_fineweb_mono_2026,2026,"Wótnožki, kótarež wobźěluju se na Lětnej kampani 2008 / 2009"
dsb_fineweb_mono_2026,2026,Slědujuce wótnožki su zwólili do wobźělenja na Lětnej kampani 2008 / 2009.
dsb_fineweb_mono_2026,2026,Druge wótnožki
dsb_fineweb_mono_2026,2026,"Pšosym glědajśo, až dary na toś te wótnožki směju se w někotarych padach jano za městne programowe aktiwity wužywaś."
dsb_fineweb_mono_2026,2026,Jo se 23. junija 2007 załožyła a w septembrje 2008 zregistrěrowała.
dsb_fineweb_mono_2026,2026,"Jo se 14. awgusta 2005 wutwóriła a tśi mjasece pózdźej, 18. nowembra 2005, zregistrěrowała."
dsb_fineweb_mono_2026,2026,Jo se 20. oktobra 2007 wutwóriła a 11. decembra 2007 pśipóznała.
dsb_fineweb_mono_2026,2026,"Jo se 14. februara 2006 pó rěźe zmakanjow zapisała, kótarež su se w oktobrje 2005 zachopili."
dsb_fineweb_mono_2026,2026,tak te ¾ na zemi.
dsb_fineweb_mono_2026,2026,– To jo Jano.
dsb_fineweb_mono_2026,2026,– Wót źo wón jo?
dsb_fineweb_mono_2026,2026,– Sy ty tež Serb?
dsb_fineweb_mono_2026,2026,"– Ně, ja Serb njejsom, ja som Rumun."
dsb_fineweb_mono_2026,2026,– Wón jo z Łužyce.
